{'add_noise_prob': 1.0,
 'base_lr': 0.01,
 'batch_size': 4,
 'cfg': 'config_3d_pan.yml',
 'conf_threshold': 0.8,
 'consistency': 1.0,
 'consistency_rampup': 40,
 'cutmix_prob': 1.0,
 'deterministic': 1,
 'ema_decay': 0.99,
 'exp': 'Pancrease_init/v9',
 'flag_ema_buffer': True,
 'flag_ema_mode_train': False,
 'flag_extra_weak': True,
 'flag_not_use_noise_weak': False,
 'flag_pseudo_from_student': False,
 'flag_sampling_based_on_lb': False,
 'flag_ulb_loss_type': 'ce',
 'flag_use_color_augs': True,
 'flag_use_dynamic_cutmix': False,
 'flag_use_teacher_warmup': False,
 'gpu_id': 2,
 'labeled_bs': 2,
 'labeled_num': 12,
 'max_iterations': 15000,
 'max_samples': 62,
 'model': 'vnet',
 'num_classes': 2,
 'patch_size': [96, 96, 96],
 'poly': True,
 'res_path': './results/Pancreas',
 'root_path': './data/Pancreas',
 'save_interval_epoch': 1000000,
 'seed': 2024,
 'test_interval_iter': 200,
 'workers': 4}
total 62 samples
25 iterations per epoch
iteration:40  t-loss:0.3388, loss-lb:0.3375, loss-ulb:0.1904, weight:0.01, high-r:0.99, lr:0.0100
iteration:41  t-loss:0.3064, loss-lb:0.3058, loss-ulb:0.0760, weight:0.01, high-r:0.98, lr:0.0100
iteration:42  t-loss:0.3270, loss-lb:0.3265, loss-ulb:0.0813, weight:0.01, high-r:0.99, lr:0.0100
iteration:43  t-loss:0.2798, loss-lb:0.2787, loss-ulb:0.1617, weight:0.01, high-r:0.98, lr:0.0100
iteration:44  t-loss:0.3032, loss-lb:0.3026, loss-ulb:0.0931, weight:0.01, high-r:0.98, lr:0.0100
iteration:45  t-loss:0.3013, loss-lb:0.3008, loss-ulb:0.0767, weight:0.01, high-r:0.97, lr:0.0100
iteration:46  t-loss:0.3131, loss-lb:0.3124, loss-ulb:0.1056, weight:0.01, high-r:0.98, lr:0.0100
iteration:47  t-loss:0.2949, loss-lb:0.2939, loss-ulb:0.1398, weight:0.01, high-r:0.94, lr:0.0100
iteration:48  t-loss:0.2796, loss-lb:0.2787, loss-ulb:0.1244, weight:0.01, high-r:0.97, lr:0.0100
iteration:49  t-loss:0.3114, loss-lb:0.3108, loss-ulb:0.0912, weight:0.01, high-r:0.93, lr:0.0100
iteration:50  t-loss:0.2861, loss-lb:0.2856, loss-ulb:0.0652, weight:0.01, high-r:0.90, lr:0.0100
  0%|                               | 2/601 [00:51<4:17:29, 25.79s/it]iteration:51  t-loss:0.2732, loss-lb:0.2726, loss-ulb:0.0811, weight:0.01, high-r:0.90, lr:0.0100
iteration:52  t-loss:0.2793, loss-lb:0.2787, loss-ulb:0.0945, weight:0.01, high-r:0.93, lr:0.0100
iteration:53  t-loss:0.3080, loss-lb:0.3070, loss-ulb:0.1524, weight:0.01, high-r:0.96, lr:0.0100
iteration:54  t-loss:0.3275, loss-lb:0.3267, loss-ulb:0.1299, weight:0.01, high-r:0.96, lr:0.0100
iteration:55  t-loss:0.3177, loss-lb:0.3167, loss-ulb:0.1490, weight:0.01, high-r:0.94, lr:0.0100
iteration:56  t-loss:0.2888, loss-lb:0.2884, loss-ulb:0.0623, weight:0.01, high-r:0.94, lr:0.0100
iteration:57  t-loss:0.3123, loss-lb:0.3116, loss-ulb:0.0978, weight:0.01, high-r:0.92, lr:0.0100
iteration:58  t-loss:0.2736, loss-lb:0.2730, loss-ulb:0.0892, weight:0.01, high-r:0.94, lr:0.0100
iteration:59  t-loss:0.2971, loss-lb:0.2965, loss-ulb:0.0878, weight:0.01, high-r:0.94, lr:0.0100
iteration:60  t-loss:0.2674, loss-lb:0.2664, loss-ulb:0.1521, weight:0.01, high-r:0.85, lr:0.0100
iteration:61  t-loss:0.2553, loss-lb:0.2549, loss-ulb:0.0600, weight:0.01, high-r:0.89, lr:0.0100
iteration:62  t-loss:0.2981, loss-lb:0.2976, loss-ulb:0.0691, weight:0.01, high-r:0.81, lr:0.0100
iteration:63  t-loss:0.2694, loss-lb:0.2689, loss-ulb:0.0612, weight:0.01, high-r:0.89, lr:0.0100
iteration:64  t-loss:0.3415, loss-lb:0.3410, loss-ulb:0.0795, weight:0.01, high-r:0.96, lr:0.0100
iteration:65  t-loss:0.2914, loss-lb:0.2910, loss-ulb:0.0630, weight:0.01, high-r:0.85, lr:0.0100
iteration:66  t-loss:0.2582, loss-lb:0.2575, loss-ulb:0.1083, weight:0.01, high-r:0.88, lr:0.0100
iteration:67  t-loss:0.2640, loss-lb:0.2636, loss-ulb:0.0561, weight:0.01, high-r:0.87, lr:0.0100
iteration:68  t-loss:0.2923, loss-lb:0.2919, loss-ulb:0.0595, weight:0.01, high-r:0.94, lr:0.0100
iteration:69  t-loss:0.2661, loss-lb:0.2650, loss-ulb:0.1542, weight:0.01, high-r:0.88, lr:0.0100
iteration:70  t-loss:0.2705, loss-lb:0.2696, loss-ulb:0.1279, weight:0.01, high-r:0.89, lr:0.0100
iteration:71  t-loss:0.2514, loss-lb:0.2509, loss-ulb:0.0727, weight:0.01, high-r:0.88, lr:0.0100
iteration:72  t-loss:0.2891, loss-lb:0.2885, loss-ulb:0.0862, weight:0.01, high-r:0.84, lr:0.0100
iteration:73  t-loss:0.3216, loss-lb:0.3211, loss-ulb:0.0651, weight:0.01, high-r:0.92, lr:0.0100
iteration:74  t-loss:0.2723, loss-lb:0.2715, loss-ulb:0.1115, weight:0.01, high-r:0.95, lr:0.0100
iteration:75  t-loss:0.2620, loss-lb:0.2614, loss-ulb:0.0935, weight:0.01, high-r:0.85, lr:0.0100
  0%|▏                              | 3/601 [01:19<4:25:17, 26.62s/it]iteration:76  t-loss:0.3097, loss-lb:0.3093, loss-ulb:0.0644, weight:0.01, high-r:0.91, lr:0.0100
iteration:77  t-loss:0.2566, loss-lb:0.2559, loss-ulb:0.1024, weight:0.01, high-r:0.94, lr:0.0100
iteration:78  t-loss:0.2336, loss-lb:0.2331, loss-ulb:0.0693, weight:0.01, high-r:0.83, lr:0.0100
iteration:79  t-loss:0.3099, loss-lb:0.3094, loss-ulb:0.0722, weight:0.01, high-r:0.89, lr:0.0100
iteration:80  t-loss:0.2765, loss-lb:0.2760, loss-ulb:0.0763, weight:0.01, high-r:0.87, lr:0.0100
iteration:81  t-loss:0.3044, loss-lb:0.3037, loss-ulb:0.1019, weight:0.01, high-r:0.92, lr:0.0100
iteration:82  t-loss:0.3447, loss-lb:0.3440, loss-ulb:0.0994, weight:0.01, high-r:0.93, lr:0.0100
iteration:83  t-loss:0.2875, loss-lb:0.2868, loss-ulb:0.1033, weight:0.01, high-r:0.87, lr:0.0100
iteration:84  t-loss:0.2739, loss-lb:0.2734, loss-ulb:0.0727, weight:0.01, high-r:0.86, lr:0.0100
iteration:85  t-loss:0.2953, loss-lb:0.2948, loss-ulb:0.0651, weight:0.01, high-r:0.91, lr:0.0099
iteration:86  t-loss:0.2711, loss-lb:0.2706, loss-ulb:0.0818, weight:0.01, high-r:0.95, lr:0.0099
iteration:87  t-loss:0.2582, loss-lb:0.2578, loss-ulb:0.0673, weight:0.01, high-r:0.88, lr:0.0099
iteration:88  t-loss:0.2880, loss-lb:0.2874, loss-ulb:0.0872, weight:0.01, high-r:0.84, lr:0.0099
iteration:89  t-loss:0.2432, loss-lb:0.2425, loss-ulb:0.1063, weight:0.01, high-r:0.84, lr:0.0099
iteration:90  t-loss:0.3022, loss-lb:0.3019, loss-ulb:0.0484, weight:0.01, high-r:0.94, lr:0.0099
iteration:91  t-loss:0.2868, loss-lb:0.2861, loss-ulb:0.1039, weight:0.01, high-r:0.91, lr:0.0099
iteration:92  t-loss:0.2882, loss-lb:0.2876, loss-ulb:0.0980, weight:0.01, high-r:0.83, lr:0.0099
iteration:93  t-loss:0.2596, loss-lb:0.2593, loss-ulb:0.0447, weight:0.01, high-r:0.82, lr:0.0099
iteration:94  t-loss:0.2884, loss-lb:0.2878, loss-ulb:0.0860, weight:0.01, high-r:0.86, lr:0.0099
iteration:95  t-loss:0.3064, loss-lb:0.3059, loss-ulb:0.0657, weight:0.01, high-r:0.87, lr:0.0099
iteration:96  t-loss:0.2898, loss-lb:0.2891, loss-ulb:0.1088, weight:0.01, high-r:0.69, lr:0.0099
iteration:97  t-loss:0.2812, loss-lb:0.2808, loss-ulb:0.0614, weight:0.01, high-r:0.90, lr:0.0099
iteration:98  t-loss:0.2707, loss-lb:0.2703, loss-ulb:0.0623, weight:0.01, high-r:0.86, lr:0.0099
iteration:99  t-loss:0.3021, loss-lb:0.3010, loss-ulb:0.1598, weight:0.01, high-r:0.68, lr:0.0099
iteration:100  t-loss:0.2858, loss-lb:0.2854, loss-ulb:0.0641, weight:0.01, high-r:0.81, lr:0.0099
  1%|▏                              | 4/601 [01:54<4:57:25, 29.89s/it]iteration:101  t-loss:0.2811, loss-lb:0.2806, loss-ulb:0.0737, weight:0.01, high-r:0.83, lr:0.0099
iteration:102  t-loss:0.2885, loss-lb:0.2878, loss-ulb:0.1019, weight:0.01, high-r:0.83, lr:0.0099
iteration:103  t-loss:0.2708, loss-lb:0.2704, loss-ulb:0.0641, weight:0.01, high-r:0.80, lr:0.0099
iteration:104  t-loss:0.2769, loss-lb:0.2763, loss-ulb:0.0843, weight:0.01, high-r:0.85, lr:0.0099
iteration:105  t-loss:0.2722, loss-lb:0.2719, loss-ulb:0.0475, weight:0.01, high-r:0.87, lr:0.0099
iteration:106  t-loss:0.2433, loss-lb:0.2425, loss-ulb:0.1190, weight:0.01, high-r:0.70, lr:0.0099
iteration:107  t-loss:0.2682, loss-lb:0.2676, loss-ulb:0.0851, weight:0.01, high-r:0.85, lr:0.0099
iteration:108  t-loss:0.3318, loss-lb:0.3314, loss-ulb:0.0583, weight:0.01, high-r:0.83, lr:0.0099
iteration:109  t-loss:0.3261, loss-lb:0.3256, loss-ulb:0.0734, weight:0.01, high-r:0.80, lr:0.0099
iteration:110  t-loss:0.2490, loss-lb:0.2482, loss-ulb:0.1160, weight:0.01, high-r:0.86, lr:0.0099
iteration:111  t-loss:0.2347, loss-lb:0.2342, loss-ulb:0.0837, weight:0.01, high-r:0.68, lr:0.0099
iteration:112  t-loss:0.2874, loss-lb:0.2871, loss-ulb:0.0517, weight:0.01, high-r:0.85, lr:0.0099
iteration:113  t-loss:0.2715, loss-lb:0.2708, loss-ulb:0.0924, weight:0.01, high-r:0.90, lr:0.0099
iteration:114  t-loss:0.3157, loss-lb:0.3151, loss-ulb:0.0895, weight:0.01, high-r:0.80, lr:0.0099
iteration:115  t-loss:0.2673, loss-lb:0.2668, loss-ulb:0.0719, weight:0.01, high-r:0.84, lr:0.0099
iteration:116  t-loss:0.2660, loss-lb:0.2652, loss-ulb:0.1186, weight:0.01, high-r:0.85, lr:0.0099
iteration:117  t-loss:0.3048, loss-lb:0.3045, loss-ulb:0.0510, weight:0.01, high-r:0.89, lr:0.0099
iteration:118  t-loss:0.2789, loss-lb:0.2785, loss-ulb:0.0595, weight:0.01, high-r:0.70, lr:0.0099
iteration:119  t-loss:0.2743, loss-lb:0.2740, loss-ulb:0.0527, weight:0.01, high-r:0.76, lr:0.0099
iteration:120  t-loss:0.2661, loss-lb:0.2656, loss-ulb:0.0747, weight:0.01, high-r:0.87, lr:0.0099
iteration:121  t-loss:0.2745, loss-lb:0.2740, loss-ulb:0.0677, weight:0.01, high-r:0.77, lr:0.0099
iteration:122  t-loss:0.3029, loss-lb:0.3023, loss-ulb:0.0879, weight:0.01, high-r:0.73, lr:0.0099
iteration:123  t-loss:0.3055, loss-lb:0.3049, loss-ulb:0.0877, weight:0.01, high-r:0.86, lr:0.0099
iteration:124  t-loss:0.2769, loss-lb:0.2766, loss-ulb:0.0520, weight:0.01, high-r:0.81, lr:0.0099
iteration:125  t-loss:0.2609, loss-lb:0.2603, loss-ulb:0.0892, weight:0.01, high-r:0.86, lr:0.0099
  1%|▎                              | 5/601 [02:22<4:49:52, 29.18s/it]iteration:126  t-loss:0.2430, loss-lb:0.2424, loss-ulb:0.0863, weight:0.01, high-r:0.90, lr:0.0099
iteration:127  t-loss:0.3004, loss-lb:0.3001, loss-ulb:0.0522, weight:0.01, high-r:0.76, lr:0.0099
iteration:128  t-loss:0.2852, loss-lb:0.2841, loss-ulb:0.1626, weight:0.01, high-r:0.85, lr:0.0099
iteration:129  t-loss:0.2768, loss-lb:0.2764, loss-ulb:0.0584, weight:0.01, high-r:0.80, lr:0.0099
iteration:130  t-loss:0.2717, loss-lb:0.2713, loss-ulb:0.0590, weight:0.01, high-r:0.91, lr:0.0099
iteration:131  t-loss:0.2915, loss-lb:0.2911, loss-ulb:0.0593, weight:0.01, high-r:0.78, lr:0.0099
iteration:132  t-loss:0.2919, loss-lb:0.2915, loss-ulb:0.0551, weight:0.01, high-r:0.84, lr:0.0099
iteration:133  t-loss:0.2781, loss-lb:0.2776, loss-ulb:0.0742, weight:0.01, high-r:0.81, lr:0.0099
iteration:134  t-loss:0.2735, loss-lb:0.2733, loss-ulb:0.0220, weight:0.01, high-r:0.84, lr:0.0099
iteration:135  t-loss:0.3085, loss-lb:0.3082, loss-ulb:0.0462, weight:0.01, high-r:0.70, lr:0.0099
iteration:136  t-loss:0.3261, loss-lb:0.3255, loss-ulb:0.0937, weight:0.01, high-r:0.88, lr:0.0099
iteration:137  t-loss:0.3006, loss-lb:0.3001, loss-ulb:0.0684, weight:0.01, high-r:0.81, lr:0.0099
iteration:138  t-loss:0.2711, loss-lb:0.2707, loss-ulb:0.0580, weight:0.01, high-r:0.77, lr:0.0099
